"Response_ID";"Timestamp";"Age";"Gender";"Occupation_Status";"Country_Region";"Monthly_Income_Range";"Shop_Most_Where";"Online_Shopping_Frequency";"Preferred_Platform";"Primary_Device";"Top_Spending_Category";"Review_Influence_Score";"Social_Ads_Influence_Score";"Price_Comparison_Frequency";"Discount_Importance_Score";"Follows_Brands_On_Social";"Likely_To_Buy_After_Ad_Score";"Makes_Shopping_List";"Impulse_Purchase_Frequency";"Return_Frequency";"Avg_Monthly_Spend_NonEssentials";"Preferred_Payment_Method";"Uses_BNPL_Installments";"Online_Shopping_Satisfaction_Score";"Trust_In_Online_Reviews_Score";"Regret_After_Purchase_Frequency";"Reason_Prefer_Online";"Reason_Prefer_InStore";"Best_Shopping_Mode"
166;"14/08/2026 08:50:40";16;"Male";"Student";"Brazil";"$1,000-3,000";"Equal mix";"Often";"Brand websites";"Smartphone";"Clothing";2;1;"4";4;"Unknown";3;"Often";"1";"Sometimes";"$150-300";"Cash";"Yes, occasionally";8;10;2;"Convenience";"Not applicable";"Equal / both"
168;"26/07/2026 09:03:37";20;"Male";"Student";"Brazil";"Under $1,000";"Equal mix";"Occasionally";"Local e-commerce";"Laptop";"Clothing";1;1;"3";3;"No";2;"Unknown";"2";"Never";"$150-300";"Debit Card";"Yes, occasionally";7;5;3;"More variety";"No delivery wait";"Online"
172;"25/07/2026 02:10:59";21;"Prefer not to say";"Student";"India";"Under $1,000";"Online only";"Often";"Brand websites";"Laptop";"Electronics";4;3;"4";4;"No";4;"Always";"2";"Sometimes";"Under $50";"Digital wallet";"Yes, regularly";5;5;2;"Not applicable";"Trust";"Online"
173;"28/07/2026 22:33:54";21;"Female";"Employed full-time";"Nigeria";"Under $1,000";"Online only";"Occasionally";"Brand websites";"Smartphone";"miscellaneous";4;5;"4";3;"Yes";4;"Often";"5";"Never";"Unknown";"Digital wallet";"Yes, occasionally";7;6;3;"Better prices";"Try product before buying";"Online"
174;"07/08/2026 11:49:18";19;"Male";"Student";"Kenya";"Under $1,000";"Equal mix";"Often";"Local e-commerce";"Smartphone";"Books";5;5;"4";4;"Yes";4;"Sometimes";"4";"Never";"Under $50";"Debit Card";"Yes, occasionally";8;6;1;"Convenience";"Try product before buying";"Offline"
176;"02/08/2026 04:41:38";22;"Female";"Student";"Brazil";"Under $1,000";"Equal mix";"Always";"Brand websites";"Smartphone";"Electronics";2;1;"";3;"No";3;"Sometimes";"1";"Sometimes";"Under $50";"Credit Card";"Yes, regularly";8;10;2;"Convenience";"Trust";"Online"
177;"09/07/2026 19:04:02";16;"Female";"Student";"United Kingdom";"Under $1,000";"Equal mix";"Occasionally";"Global marketplace (Amazon etc.)";"Laptop";"Groceries";3;3;"4";5;"No";3;"Often";"3";"Never";"Under $50";"Digital wallet";"Yes, regularly";8;6;2;"Better prices";"Try product before buying";"Online"
178;"21/06/2026 23:30:28";16;"Male";"Student";"Mexico";"Under $1,000";"Online only";"Occasionally";"Brand websites";"Laptop";"Unknown";3;2;"4";2;"No";2;"Sometimes";"3";"Sometimes";"Under $50";"Debit Card";"No, never";6;9;2;"Convenience";"Try product before buying";"Equal / both"
179;"12/07/2026 14:34:08";19;"Male";"Student";"Brazil";"$1,000-3,000";"Online only";"Occasionally";"Physical stores";"Tablet";"Clothing";2;3;"3";5;"No";3;"Often";"4";"Never";"$150-300";"Credit Card";"No, never";6;7;3;"More variety";"Not applicable";"Online"
180;"20/08/2026 18:44:36";21;"Prefer not to say";"Student";"Poland";"Under $1,000";"Online only";"Always";"Local e-commerce";"Smartphone";"Clothing";2;2;"1";4;"No";1;"Always";"1";"Often";"$150-300";"Digital wallet";"Yes, occasionally";7;5;1;"More variety";"No delivery wait";"Online"
181;"25/06/2026 17:47:37";20;"Prefer not to say";"Student";"Kenya";"$3,000-6,000";"Online only";"Occasionally";"Global marketplace (Amazon etc.)";"Tablet";"Beauty & personal care";3;3;"5";5;"Yes";4;"Never";"1";"Never";"$50-150";"Unknown";"No, never";6;3;1;"Convenience";"Not applicable";"Online"
183;"24/06/2026 16:01:05";22;"Male";"Student";"Brazil";"Under $1,000";"Equal mix";"Rarely";"Physical stores";"Laptop";"Electronics";4;2;"4";2;"No";3;"Often";"3";"Sometimes";"$50-150";"Digital wallet";"No, never";8;4;2;"More variety";"Not applicable";"Online"
185;"10/08/2026 21:31:43";21;"Female";"Employed full-time";"Colombia";"$3,000-6,000";"In-store only";"Often";"Global marketplace (Amazon etc.)";"Smartphone";"Books";5;5;"4";5;"No";3;"Unknown";"4";"Sometimes";"$150-300";"Cash";"Yes, occasionally";5;5;3;"Not applicable";"No delivery wait";"Offline"
190;"02/07/2026 15:35:05";37;"Male";"Employed part-time";"Kenya";"Unknown";"Online only";"Occasionally";"Brand websites";"Smartphone";"Groceries";5;4;"4";3;"Yes";4;"Never";"3";"Never";"Under $50";"Debit Card";"Yes, occasionally";7;4;2;"Unknown";"Try product before buying";"Online"
194;"01/08/2026 11:22:56";20;"Male";"Student";"Poland";"Under $1,000";"Equal mix";"Unknown";"Global marketplace (Amazon etc.)";"Laptop";"Books";3;1;"3";5;"No";4;"Sometimes";"3";"Never";"Under $50";"Credit Card";"Yes, occasionally";6;9;3;"More variety";"No delivery wait";"Equal / both"
196;"30/06/2026 13:23:02";20;"Female";"Student";"Germany";"$1,000-3,000";"Equal mix";"Always";"Physical stores";"Smartphone";"Beauty & personal care";5;3;"5";3;"No";3;"Often";"2";"Sometimes";"$50-150";"Digital wallet";"No, never";7;7;3;"Not applicable";"No delivery wait";"Online"
198;"08/07/2026 16:32:31";20;"Female";"Student";"Poland";"Under $1,000";"Equal mix";"Occasionally";"Brand websites";"Smartphone";"Groceries";3;3;"5";5;"Yes";4;"Sometimes";"2";"Sometimes";"$50-150";"Cash";"Yes, occasionally";8;4;2;"Convenience";"Unknown";"Offline"
199;"16/07/2026 20:30:01";21;"Male";"Student";"South Africa";"Under $1,000";"Equal mix";"Occasionally";"Brand websites";"Smartphone";"Clothing";3;3;"4";3;"No";3;"Sometimes";"2";"Sometimes";"$50-150";"Debit Card";"No, never";6;4;1;"Convenience";"Try product before buying";"Online"
200;"02/07/2026 12:08:30";18;"Male";"Student";"India";"Under $1,000";"Equal mix";"Occasionally";"Brand websites";"Smartphone";"Clothing";3;4;"4";5;"Yes";2;"Never";"4";"Never";"$50-150";"Digital wallet";"No, never";8;3;3;"Better prices";"Trust";"Offline"
201;"11/08/2026 11:37:36";22;"Female";"Student";"India";"Under $1,000";"Online only";"Often";"Unknown";"Smartphone";"miscellaneous";4;3;"3";3;"No";3;"Often";"2";"Sometimes";"$50-150";"Unknown";"No, never";7;4;1;"More variety";"No delivery wait";"Online"
202;"14/07/2026 05:45:06";21;"Male";"Student";"Nigeria";"Under $1,000";"Equal mix";"Occasionally";"Physical stores";"Smartphone";"miscellaneous";4;3;"3";2;"No";3;"Always";"3";"Sometimes";"Under $50";"Debit Card";"Yes, occasionally";7;3;3;"Convenience";"Trust";"Online"
203;"13/07/2026 15:23:48";20;"Male";"Student";"India";"Under $1,000";"Equal mix";"Rarely";"Local e-commerce";"Laptop";"Beauty & personal care";3;2;"5";3;"No";3;"Sometimes";"3";"Sometimes";"Under $50";"Debit Card";"No, never";8;9;3;"Better prices";"Not applicable";"Online"
204;"23/07/2026 12:41:21";20;"Female";"Student";"Vietnam";"Under $1,000";"Equal mix";"Occasionally";"Global marketplace (Amazon etc.)";"Smartphone";"Groceries";4;1;"3";4;"No";3;"Never";"2";"Sometimes";"Under $50";"Digital wallet";"No, never";6;5;2;"Convenience";"Try product before buying";"Equal / both"
205;"11/07/2026 12:05:55";38;"Female";"Employed full-time";"Pakistan";"$1,000-3,000";"Equal mix";"Often";"Physical stores";"Laptop";"Clothing";2;4;"5";5;"No";3;"Never";"2";"Sometimes";"$50-150";"Credit Card";"No, never";9;5;1;"Better prices";"Not applicable";"Equal / both"
208;"20/08/2026 14:14:04";35;"Male";"Employed full-time";"Slovakia";"$1,000-3,000";"In-store only";"Occasionally";"Local e-commerce";"Smartphone";"miscellaneous";5;4;"4";4;"No";4;"Sometimes";"2";"Sometimes";"Unknown";"Unknown";"No, never";5;4;1;"Convenience";"Trust";"Offline"
209;"24/08/2026 15:00:13";18;"Male";"Student";"India";"$3,000-6,000";"Equal mix";"Often";"Local e-commerce";"Smartphone";"Electronics";4;2;"4";4;"No";2;"Often";"2";"Never";"$500+";"Digital wallet";"No, never";9;8;1;"More variety";"Trust";"Offline"
210;"08/08/2026 20:22:25";27;"Male";"Employed full-time";"Pakistan";"$1,000-3,000";"Equal mix";"Often";"Global marketplace (Amazon etc.)";"Smartphone";"Electronics";3;5;"4";4;"Unknown";4;"Sometimes";"4";"Sometimes";"Unknown";"Debit Card";"Yes, occasionally";9;6;2;"More variety";"Try product before buying";"Online"
211;"19/07/2026 20:05:29";18;"Male";"Student";"Poland";"Under $1,000";"Equal mix";"Occasionally";"Global marketplace (Amazon etc.)";"Tablet";"Clothing";3;4;"3";4;"Yes";3;"Never";"3";"Often";"Under $50";"Credit Card";"No, never";6;7;3;"More variety";"Trust";"Offline"
213;"04/08/2026 00:08:31";35;"Male";"Employed full-time";"India";"$3,000-6,000";"Equal mix";"Occasionally";"Physical stores";"Smartphone";"Clothing";1;2;"5";4;"No";2;"Often";"1";"Never";"$50-150";"Cash";"No, never";6;6;3;"Convenience";"Not applicable";"Offline"
215;"05/08/2026 01:31:39";18;"Male";"Unemployed";"Kenya";"Unknown";"Unknown";"Occasionally";"Local e-commerce";"Laptop";"Beauty & personal care";3;2;"4";5;"No";3;"Never";"3";"Never";"$50-150";"Debit Card";"Yes, occasionally";7;6;4;"More variety";"Trust";"Equal / both"
218;"14/07/2026 14:26:17";35;"Male";"Unemployed";"Poland";"Under $1,000";"Equal mix";"Rarely";"Physical stores";"Laptop";"Clothing";1;3;"5";2;"No";2;"Often";"4";"Sometimes";"Under $50";"Credit Card";"No, never";9;4;4;"More variety";"No delivery wait";"Offline"
219;"11/08/2026 04:02:21";26;"Female";"Employed part-time";"Pakistan";"Under $1,000";"In-store only";"Rarely";"Brand websites";"Smartphone";"Clothing";2;2;"3";3;"No";2;"Never";"3";"Unknown";"$50-150";"Digital wallet";"Yes, occasionally";8;7;4;"Convenience";"No delivery wait";"Offline"
221;"26/06/2026 20:36:09";22;"Male";"Employed part-time";"Philippines";"Unknown";"In-store only";"Occasionally";"Brand websites";"Smartphone";"Unknown";4;4;"3";5;"No";3;"Sometimes";"2";"Sometimes";"$50-150";"Cash";"Yes, occasionally";9;2;3;"Convenience";"No delivery wait";"Offline"
223;"16/08/2026 14:26:25";24;"Prefer not to say";"Employed part-time";"India";"$1,000-3,000";"Equal mix";"Occasionally";"Local e-commerce";"Smartphone";"Clothing";1;2;"5";3;"No";2;"Often";"2";"Never";"$50-150";"Debit Card";"No, never";4;3;3;"Not applicable";"Trust";"Offline"
224;"16/08/2026 14:40:15";17;"Male";"Student";"United States";"$6,000+";"In-store only";"Occasionally";"Local e-commerce";"Smartphone";"Unknown";4;4;"4";5;"Yes";3;"Never";"1";"Sometimes";"$50-150";"Credit Card";"No, never";10;6;2;"More variety";"Not applicable";"Equal / both"
226;"14/07/2026 23:08:52";25;"Male";"Self-employed";"Philippines";"$6,000+";"Equal mix";"Occasionally";"Brand websites";"Smartphone";"Electronics";4;5;"";5;"No";4;"Often";"3";"Never";"$500+";"Digital wallet";"Yes, occasionally";8;8;1;"Not applicable";"Trust";"Equal / both"
230;"04/08/2026 18:21:02";17;"Male";"Student";"Philippines";"Unknown";"Online only";"Rarely";"Brand websites";"Laptop";"miscellaneous";3;2;"4";5;"No";2;"Often";"2";"Never";"Under $50";"Credit Card";"No, never";8;5;1;"More variety";"No delivery wait";"Online"
231;"24/07/2026 02:26:37";46;"Male";"Employed full-time";"South Africa";"Under $1,000";"Online only";"Occasionally";"Global marketplace (Amazon etc.)";"Tablet";"Clothing";1;4;"5";4;"No";3;"Often";"2";"Sometimes";"$150-300";"Debit Card";"Yes, regularly";4;5;3;"Better prices";"Trust";"Online"
232;"08/08/2026 17:38:37";27;"Male";"Student";"Nigeria";"Under $1,000";"Equal mix";"Always";"Brand websites";"Smartphone";"Groceries";1;2;"4";5;"No";3;"Unknown";"2";"Sometimes";"Under $50";"Credit Card";"No, never";7;9;2;"Convenience";"Not applicable";"Online"
234;"01/07/2026 05:06:37";19;"Male";"Student";"United Kingdom";"Under $1,000";"Online only";"Occasionally";"Brand websites";"Laptop";"Clothing";1;2;"5";3;"No";3;"Sometimes";"3";"Never";"Under $50";"Digital wallet";"No, never";9;8;3;"Convenience";"No delivery wait";"Online"
236;"18/08/2026 02:38:27";20;"Male";"Student";"Kenya";"Under $1,000";"Equal mix";"Often";"Physical stores";"Smartphone";"Clothing";2;4;"5";5;"No";4;"Sometimes";"4";"Often";"Under $50";"Debit Card";"Yes, regularly";6;5;1;"Unknown";"No delivery wait";"Online"
237;"10/07/2026 17:40:14";19;"Female";"Student";"India";"Under $1,000";"Online only";"Rarely";"Brand websites";"Smartphone";"miscellaneous";2;3;"5";4;"No";4;"Often";"4";"Never";"Under $50";"Digital wallet";"Yes, regularly";7;6;2;"Not applicable";"No delivery wait";"Online"
238;"06/07/2026 04:05:59";19;"Male";"Student";"Turkiye";"Under $1,000";"Equal mix";"Often";"Global marketplace (Amazon etc.)";"Smartphone";"Groceries";2;2;"4";3;"No";2;"Often";"1";"Never";"Under $50";"Digital wallet";"No, never";7;5;1;"Convenience";"Not applicable";"Equal / both"
240;"15/08/2026 18:37:52";16;"Male";"Student";"United Kingdom";"Under $1,000";"Online only";"Always";"Physical stores";"Laptop";"miscellaneous";4;3;"5";5;"No";2;"Sometimes";"1";"Sometimes";"$500+";"Digital wallet";"No, never";7;7;1;"Better prices";"Not applicable";"Equal / both"
241;"03/08/2026 14:20:25";31;"Female";"Employed full-time";"Nigeria";"Under $1,000";"Equal mix";"Often";"Physical stores";"Smartphone";"Groceries";5;4;"2";4;"No";5;"Always";"4";"Often";"$50-150";"Debit Card";"Yes, occasionally";2;4;4;"More variety";"Try product before buying";"Offline"
242;"13/07/2026 16:58:02";48;"Female";"Employed full-time";"United States";"Under $1,000";"Online only";"Rarely";"Local e-commerce";"Laptop";"Groceries";4;1;"4";5;"No";3;"Often";"1";"Sometimes";"Under $50";"Debit Card";"No, never";8;8;1;"Convenience";"No delivery wait";"Equal / both"
246;"27/06/2026 11:24:00";21;"Male";"Student";"United States";"Under $1,000";"Online only";"Always";"Brand websites";"Smartphone";"Clothing";4;3;"4";4;"No";4;"Often";"5";"Sometimes";"Under $50";"Credit Card";"Yes, occasionally";9;6;1;"Convenience";"No delivery wait";"Online"
247;"18/08/2026 02:54:22";20;"Male";"Student";"India";"Under $1,000";"Equal mix";"Always";"Global marketplace (Amazon etc.)";"Smartphone";"Clothing";4;5;"";5;"No";4;"Often";"3";"Never";"Under $50";"Digital wallet";"Yes, occasionally";5;5;2;"Convenience";"No delivery wait";"Offline"
250;"01/08/2026 03:14:41";20;"Female";"Student";"Pakistan";"$1,000-3,000";"In-store only";"Occasionally";"Global marketplace (Amazon etc.)";"Smartphone";"Electronics";2;2;"4";3;"No";2;"Often";"4";"Never";"$50-150";"Digital wallet";"No, never";6;3;3;"Convenience";"Not applicable";"Offline"
251;"22/08/2026 22:37:04";18;"Female";"Student";"United Kingdom";"Under $1,000";"Equal mix";"Often";"Local e-commerce";"Smartphone";"Clothing";3;2;"4";4;"No";2;"Always";"4";"Never";"Under $50";"Debit Card";"Yes, occasionally";6;6;2;"Convenience";"No delivery wait";"Online"
253;"22/08/2026 10:02:07";19;"Male";"Student";"India";"Under $1,000";"Online only";"Occasionally";"Global marketplace (Amazon etc.)";"Smartphone";"Clothing";2;4;"4";5;"No";2;"Sometimes";"2";"Never";"Under $50";"Digital wallet";"No, never";8;4;3;"Convenience";"Try product before buying";"Online"
255;"27/07/2026 11:28:21";49;"Male";"Employed full-time";"Germany";"$3,000-6,000";"Online only";"Occasionally";"Local e-commerce";"Smartphone";"Books";2;1;"4";4;"No";1;"Unknown";"1";"Sometimes";"$500+";"Credit Card";"Yes, occasionally";9;3;1;"Convenience";"No delivery wait";"Online"
256;"06/08/2026 17:36:02";17;"Male";"Student";"Egypt";"Under $1,000";"Equal mix";"Occasionally";"Brand websites";"Smartphone";"Clothing";5;5;"4";1;"No";4;"Always";"";"Never";"$300-500";"Credit Card";"Yes, occasionally";7;3;2;"More variety";"Trust";"Online"
257;"31/07/2026 17:40:03";34;"Male";"Employed full-time";"Brazil";"$3,000-6,000";"Online only";"Occasionally";"Local e-commerce";"Laptop";"Groceries";4;3;"5";3;"No";3;"Sometimes";"1";"Often";"$150-300";"Credit Card";"Yes, occasionally";8;10;3;"More variety";"No delivery wait";"Online"
258;"13/08/2026 20:24:33";33;"Prefer not to say";"Employed part-time";"Kenya";"$3,000-6,000";"Online only";"Often";"Brand websites";"Smartphone";"Groceries";4;3;"";5;"No";2;"Never";"2";"Sometimes";"$300-500";"Debit Card";"Yes, regularly";7;9;1;"More variety";"No delivery wait";"Online"
259;"23/06/2026 01:51:30";22;"Male";"Employed part-time";"Vietnam";"$1,000-3,000";"Equal mix";"Occasionally";"Local e-commerce";"Smartphone";"Clothing";3;4;"4";3;"Yes";3;"Often";"3";"Never";"$50-150";"Digital wallet";"No, never";6;7;2;"Better prices";"No delivery wait";"Offline"
260;"17/08/2026 03:04:59";31;"Female";"Employed part-time";"Poland";"Under $1,000";"Online only";"Often";"Local e-commerce";"Smartphone";"miscellaneous";4;5;"4";5;"No";3;"Sometimes";"3";"Sometimes";"Under $50";"Credit Card";"No, never";6;6;4;"More variety";"Try product before buying";"Online"
261;"23/08/2026 17:48:23";22;"Prefer not to say";"Student";"Brazil";"Under $1,000";"Online only";"Occasionally";"Brand websites";"Smartphone";"Unknown";4;5;"2";3;"No";3;"Never";"5";"Never";"Under $50";"Digital wallet";"Yes, occasionally";5;5;2;"Convenience";"No delivery wait";"Equal / both"
263;"07/07/2026 00:57:36";21;"Male";"Student";"United Kingdom";"$1,000-3,000";"Online only";"Occasionally";"Local e-commerce";"Smartphone";"Clothing";4;3;"4";3;"Yes";4;"Sometimes";"2";"Sometimes";"$150-300";"Cash";"No, never";9;6;3;"More variety";"No delivery wait";"Online"
264;"13/08/2026 13:23:02";17;"Female";"Student";"Indonesia";"Unknown";"In-store only";"Often";"Physical stores";"Smartphone";"Electronics";2;5;"5";3;"No";2;"Sometimes";"3";"Never";"Under $50";"Credit Card";"No, never";9;9;2;"Convenience";"Not applicable";"Offline"
265;"28/07/2026 10:29:36";28;"Female";"Employed part-time";"United States";"$1,000-3,000";"Online only";"Occasionally";"Local e-commerce";"Smartphone";"Clothing";1;3;"4";5;"No";3;"Often";"1";"Sometimes";"$50-150";"Digital wallet";"Yes, regularly";6;8;1;"More variety";"Try product before buying";"Online"
266;"14/07/2026 14:46:00";30;"Female";"Self-employed";"United States";"$3,000-6,000";"In-store only";"Occasionally";"Unknown";"Smartphone";"Books";2;3;"5";5;"No";4;"Never";"1";"Sometimes";"$500+";"Digital wallet";"No, never";10;7;1;"More variety";"Not applicable";"Offline"
267;"16/08/2026 17:06:58";36;"Male";"Self-employed";"Vietnam";"$1,000-3,000";"Equal mix";"Often";"Local e-commerce";"Smartphone";"Electronics";2;2;"5";5;"Yes";3;"Sometimes";"2";"Often";"$150-300";"Credit Card";"No, never";8;4;3;"Better prices";"Not applicable";"Offline"
268;"09/08/2026 05:06:07";30;"Prefer not to say";"Self-employed";"Indonesia";"Under $1,000";"Equal mix";"Occasionally";"Brand websites";"Smartphone";"Groceries";3;3;"5";5;"No";3;"Never";"4";"Never";"Under $50";"Credit Card";"No, never";7;10;3;"More variety";"No delivery wait";"Equal / both"
269;"20/07/2026 17:24:47";34;"Male";"Unemployed";"United States";"Under $1,000";"Online only";"Occasionally";"Global marketplace (Amazon etc.)";"Laptop";"Clothing";2;3;"5";5;"No";3;"Sometimes";"2";"Sometimes";"$150-300";"Credit Card";"Unknown";6;7;2;"More variety";"Not applicable";"Online"
271;"30/06/2026 20:18:28";20;"Male";"Student";"Mexico";"$6,000+";"Equal mix";"Often";"Local e-commerce";"Laptop";"Clothing";3;5;"4";3;"Yes";3;"Often";"2";"Never";"$500+";"Credit Card";"No, never";10;5;3;"More variety";"Unknown";"Equal / both"
272;"28/06/2026 19:17:11";21;"Female";"Student";"Mexico";"Under $1,000";"Equal mix";"Often";"Global marketplace (Amazon etc.)";"Smartphone";"Beauty & personal care";5;2;"5";4;"No";3;"Always";"3";"Sometimes";"$150-300";"Debit Card";"No, never";6;7;3;"More variety";"No delivery wait";"Online"
273;"24/06/2026 12:36:30";18;"Female";"Student";"India";"$6,000+";"Online only";"Often";"Global marketplace (Amazon etc.)";"Tablet";"Clothing";4;5;"5";5;"No";4;"Sometimes";"2";"Unknown";"$500+";"Credit Card";"No, never";8;8;3;"Convenience";"Try product before buying";"Equal / both"
274;"11/07/2026 19:19:59";22;"Male";"Student";"United Kingdom";"Under $1,000";"Online only";"Often";"Global marketplace (Amazon etc.)";"Laptop";"Electronics";4;2;"5";5;"No";2;"Sometimes";"2";"Sometimes";"Under $50";"Digital wallet";"Yes, regularly";10;7;3;"Unknown";"No delivery wait";"Online"
275;"21/06/2026 07:32:55";30;"Male";"Self-employed";"United States";"$1,000-3,000";"Equal mix";"Occasionally";"Brand websites";"Tablet";"Electronics";5;5;"4";5;"Yes";4;"Sometimes";"4";"Never";"Under $50";"Credit Card";"No, never";7;5;2;"Convenience";"No delivery wait";"Online"
277;"06/08/2026 20:08:35";30;"Male";"Employed full-time";"Poland";"$1,000-3,000";"Equal mix";"Often";"Physical stores";"Smartphone";"Clothing";4;4;"2";4;"No";3;"Never";"3";"Sometimes";"$50-150";"Debit Card";"Yes, regularly";6;7;1;"Better prices";"No delivery wait";"Equal / both"
278;"07/07/2026 05:39:16";16;"Female";"Student";"India";"Under $1,000";"Online only";"Occasionally";"Local e-commerce";"Smartphone";"Clothing";3;3;"5";2;"Yes";4;"Often";"2";"Often";"$50-150";"Debit Card";"No, never";10;5;2;"Unknown";"Trust";"Online"
279;"28/07/2026 12:28:48";22;"Male";"Student";"Mexico";"Under $1,000";"Online only";"Always";"Physical stores";"Smartphone";"Clothing";5;5;"";5;"No";5;"Sometimes";"5";"Sometimes";"$50-150";"Debit Card";"Yes, occasionally";4;4;3;"Convenience";"Try product before buying";"Online"
280;"21/06/2026 02:35:40";22;"Female";"Student";"United Kingdom";"Under $1,000";"Online only";"Occasionally";"Brand websites";"Laptop";"miscellaneous";3;2;"5";2;"Unknown";3;"Sometimes";"1";"Sometimes";"Under $50";"Cash";"Yes, occasionally";7;7;2;"More variety";"Not applicable";"Online"
284;"18/07/2026 20:34:50";31;"Male";"Employed full-time";"Philippines";"$6,000+";"Equal mix";"Occasionally";"Global marketplace (Amazon etc.)";"Smartphone";"Clothing";4;3;"5";5;"No";3;"Often";"3";"Never";"$50-150";"Debit Card";"No, never";8;8;1;"Unknown";"No delivery wait";"Online"
286;"08/07/2026 23:55:25";38;"Male";"Employed full-time";"Egypt";"$1,000-3,000";"Online only";"Rarely";"Brand websites";"Smartphone";"Clothing";3;2;"4";5;"No";2;"Often";"2";"Sometimes";"$150-300";"Credit Card";"No, never";6;9;1;"More variety";"Trust";"Online"
289;"25/07/2026 04:12:55";20;"Male";"Student";"India";"$1,000-3,000";"Online only";"Always";"Physical stores";"Laptop";"Clothing";2;2;"4";5;"No";3;"Often";"2";"Often";"$300-500";"Digital wallet";"Yes, occasionally";4;6;3;"Better prices";"Trust";"Online"
290;"23/08/2026 17:08:37";18;"Female";"Student";"Egypt";"Under $1,000";"Online only";"Occasionally";"Global marketplace (Amazon etc.)";"Smartphone";"Clothing";4;5;"5";4;"Yes";4;"Unknown";"4";"Never";"Under $50";"Credit Card";"Yes, regularly";7;7;1;"More variety";"Try product before buying";"Online"
292;"21/06/2026 02:20:37";22;"Prefer not to say";"Student";"South Africa";"Under $1,000";"Equal mix";"Occasionally";"Local e-commerce";"Smartphone";"miscellaneous";3;4;"5";5;"Yes";2;"Unknown";"2";"Sometimes";"$150-300";"Digital wallet";"Yes, occasionally";10;6;1;"Convenience";"Trust";"Online"
293;"11/07/2026 02:18:34";17;"Male";"Student";"Mexico";"Under $1,000";"Online only";"Always";"Brand websites";"Tablet";"Clothing";4;3;"5";5;"No";3;"Sometimes";"2";"Sometimes";"$50-150";"Digital wallet";"Yes, occasionally";7;8;1;"Better prices";"Trust";"Equal / both"
294;"23/06/2026 12:23:22";19;"Female";"Student";"United States";"$1,000-3,000";"Equal mix";"Always";"Physical stores";"Laptop";"Clothing";3;4;"4";5;"No";3;"Often";"2";"Never";"Under $50";"Digital wallet";"No, never";8;6;3;"More variety";"No delivery wait";"Offline"
295;"26/07/2026 19:07:13";21;"Male";"Student";"United States";"Under $1,000";"Equal mix";"Often";"Local e-commerce";"Smartphone";"Clothing";2;1;"5";3;"No";1;"Unknown";"4";"Often";"Under $50";"Debit Card";"No, never";10;10;3;"Better prices";"Try product before buying";"Equal / both"
296;"28/06/2026 05:09:10";32;"Female";"Employed full-time";"Kenya";"$1,000-3,000";"Equal mix";"Occasionally";"Global marketplace (Amazon etc.)";"Smartphone";"Groceries";2;2;"4";4;"No";1;"Never";"3";"Never";"Under $50";"Debit Card";"Yes, regularly";9;4;4;"More variety";"No delivery wait";"Online"
297;"25/07/2026 12:02:12";30;"Male";"Employed part-time";"Vietnam";"$3,000-6,000";"In-store only";"Occasionally";"Physical stores";"Laptop";"Books";1;1;"4";5;"No";2;"Often";"2";"Often";"$150-300";"Cash";"No, never";5;6;2;"Better prices";"Trust";"Offline"
298;"01/08/2026 22:29:02";16;"Female";"Student";"Brazil";"Under $1,000";"Equal mix";"Often";"Brand websites";"Laptop";"Groceries";3;3;"3";5;"No";2;"Never";"2";"Sometimes";"Under $50";"Debit Card";"No, never";8;8;1;"More variety";"Trust";"Offline"
300;"26/06/2026 02:47:08";47;"Male";"Employed full-time";"South Africa";"Unknown";"Unknown";"Occasionally";"Global marketplace (Amazon etc.)";"Smartphone";"Clothing";1;1;"5";2;"Yes";2;"Often";"1";"Never";"$50-150";"Cash";"No, never";6;7;3;"More variety";"No delivery wait";"Equal / both"
301;"18/07/2026 16:28:24";19;"Female";"Student";"Indonesia";"Under $1,000";"Equal mix";"Often";"Global marketplace (Amazon etc.)";"Smartphone";"Clothing";4;5;"5";2;"No";4;"Sometimes";"4";"Never";"Under $50";"Credit Card";"Yes, regularly";5;8;1;"More variety";"No delivery wait";"Offline"
306;"02/08/2026 21:50:51";21;"Male";"Student";"India";"$1,000-3,000";"Online only";"Occasionally";"Physical stores";"Smartphone";"Unknown";2;2;"5";2;"No";2;"Never";"5";"Sometimes";"$150-300";"Digital wallet";"Yes, occasionally";7;6;3;"Better prices";"Trust";"Online"
309;"20/08/2026 08:44:51";31;"Male";"Employed part-time";"Indonesia";"$1,000-3,000";"Equal mix";"Occasionally";"Physical stores";"Laptop";"Clothing";2;4;"4";5;"Yes";5;"Sometimes";"3";"Often";"$150-300";"Credit Card";"No, never";6;5;3;"More variety";"Trust";"Equal / both"
311;"06/08/2026 08:54:22";32;"Female";"Self-employed";"Nigeria";"$6,000+";"Equal mix";"Occasionally";"Brand websites";"Smartphone";"Groceries";2;4;"5";4;"No";2;"Always";"3";"Sometimes";"$150-300";"Unknown";"Yes, regularly";9;4;2;"More variety";"No delivery wait";"Equal / both"
312;"04/07/2026 13:38:37";30;"Prefer not to say";"Employed part-time";"Brazil";"Under $1,000";"Equal mix";"Occasionally";"Local e-commerce";"Laptop";"Clothing";3;4;"3";3;"No";3;"Sometimes";"2";"Sometimes";"Under $50";"Cash";"Yes, occasionally";8;4;3;"Convenience";"Trust";"Offline"
